resv_status,rn,adults,child,baby,room_type,id_client,oos,hk_Full_stay,checkout_year,checkout_month,checkout_day,checkout_day_name,hk_half_stay,total_HK
1,2,4,0,0,1,16843014,1,1,2023,8,13,1,0.0,1.0
1,1,2,0,0,1,9602155,1,1,2022,6,4,7,0.0,1.0
1,3,4,0,0,3,9646746,1,1,2022,8,24,4,0.0,1.0
1,1,2,0,0,0,13951562,1,1,2023,3,18,7,0.0,1.0
1,4,1,0,0,0,17813842,1,1,2023,9,30,7,0.5,1.5
1,3,4,0,1,2,10343135,1,1,2022,6,29,4,0.0,1.0
1,2,2,0,0,0,13136978,1,1,2023,3,2,5,0.0,1.0
1,7,2,0,0,1,17840383,1,1,2023,10,26,5,0.5,1.5
1,1,2,0,0,0,8935605,1,1,2022,3,18,6,0.0,1.0
1,1,1,0,0,1,9716150,1,1,2022,5,25,4,0.0,1.0
1,1,1,0,0,1,13484710,1,1,2023,2,7,3,0.0,1.0
1,2,1,0,0,0,12630808,1,1,2023,2,19,1,0.0,1.0
1,22,1,0,0,1,12734187,1,3,2023,4,10,2,2.5,5.5
1,48,1,0,0,0,12630808,1,7,2024,3,31,1,6.0,13.0
1,18,1,0,0,1,18123475,1,3,2023,11,30,5,2.0,5.0
1,5,2,0,0,1,15085324,1,1,2023,9,25,2,0.5,1.5
1,2,1,0,0,1,13151642,1,1,2023,1,14,7,0.0,1.0
1,6,1,0,0,1,9046767,1,1,2022,4,7,5,0.5,1.5
1,2,4,0,0,1,9751079,1,1,2022,10,2,1,0.0,1.0
1,1,6,0,0,2,6145401,1,1,2020,12,30,4,0.0,1.0
1,1,2,4,0,2,13440603,1,1,2023,2,25,7,0.0,1.0
1,1,3,0,0,1,15203354,1,1,2023,6,10,7,0.0,1.0
1,2,2,0,0,0,9440551,1,1,2022,4,30,7,0.0,1.0
1,1,3,0,0,1,14925412,1,1,2023,6,10,7,0.0,1.0
1,1,2,0,0,0,14244656,1,1,2023,4,1,7,0.0,1.0
1,2,2,0,0,1,12873668,1,1,2023,1,18,4,0.0,1.0
1,3,1,0,0,0,12584034,1,1,2022,11,28,2,0.0,1.0
1,2,2,0,0,0,11763722,1,1,2022,10,25,3,0.0,1.0
1,2,2,0,0,0,13556682,1,1,2023,2,15,4,0.0,1.0
1,2,1,0,0,0,9137904,1,1,2022,4,12,3,0.0,1.0
1,3,1,0,0,1,9018130,1,1,2022,4,2,7,0.0,1.0
1,5,2,0,0,0,7731687,1,1,2021,10,13,4,0.5,1.5
1,1,4,0,0,1,9457245,1,1,2022,4,30,7,0.0,1.0
1,2,6,0,0,2,14049173,1,1,2023,4,16,1,0.0,1.0
1,2,4,0,0,1,14049173,1,1,2023,4,16,1,0.0,1.0
1,2,2,2,0,1,13196516,1,1,2023,4,13,5,0.0,1.0
1,1,2,0,0,0,9506734,1,1,2022,6,16,5,0.0,1.0
1,1,2,0,0,0,12863713,1,1,2022,12,17,7,0.0,1.0
1,7,2,0,0,0,9038725,1,1,2022,5,11,4,0.5,1.5
1,2,4,0,0,1,14903600,1,1,2023,5,11,5,0.0,1.0
1,5,2,0,0,0,9663275,1,1,2022,5,22,1,0.5,1.5
1,1,1,0,0,0,8929367,1,1,2022,3,17,5,0.0,1.0
1,7,1,0,0,0,11393453,1,1,2022,10,19,4,0.5,1.5
1,6,2,0,0,0,14155966,1,1,2023,8,1,3,0.5,1.5
1,4,1,0,0,0,12405143,1,1,2022,11,11,6,0.5,1.5
1,1,4,2,0,2,9770204,1,1,2022,7,23,7,0.0,1.0
1,7,4,0,0,1,14625139,1,1,2023,5,23,3,0.5,1.5
1,6,2,0,0,0,9579294,1,1,2022,8,26,6,0.5,1.5
1,4,6,1,0,3,13036837,1,1,2023,8,18,6,0.5,1.5
1,4,2,0,0,0,13036837,1,1,2023,8,18,6,0.5,1.5
1,1,4,0,0,1,12262634,1,1,2022,10,16,1,0.0,1.0
1,1,4,0,0,1,12262634,1,1,2022,10,16,1,0.0,1.0
1,6,2,0,0,0,8578076,1,1,2022,2,21,2,0.5,1.5
1,2,2,0,0,1,13224666,1,1,2023,1,22,1,0.0,1.0
1,3,4,0,0,1,9450015,1,1,2022,6,3,6,0.0,1.0
1,3,2,0,0,0,10084172,1,1,2022,7,2,7,0.0,1.0
1,1,2,0,0,0,10002558,1,1,2022,6,8,4,0.0,1.0
1,1,4,0,0,1,10143326,1,1,2022,6,18,7,0.0,1.0
1,1,2,0,0,1,13197285,1,1,2023,2,8,4,0.0,1.0
1,4,2,0,0,0,9333772,1,1,2022,4,28,5,0.5,1.5
1,1,2,0,0,0,14164820,1,1,2023,3,28,3,0.0,1.0
1,3,2,0,0,0,13663430,1,1,2023,3,10,6,0.0,1.0
1,3,4,0,0,1,15062194,1,1,2023,5,28,1,0.0,1.0
1,3,5,0,0,2,15062194,1,1,2023,5,28,1,0.0,1.0
1,7,2,0,0,0,13792961,1,1,2023,9,21,5,0.5,1.5
1,1,4,3,0,3,15748493,1,1,2023,7,25,3,0.0,1.0
1,2,2,0,0,0,15274635,1,1,2023,6,27,3,0.0,1.0
1,5,2,0,0,0,13381538,1,1,2023,2,6,2,0.5,1.5
1,10,2,0,0,1,16816612,1,2,2024,2,19,2,1.0,3.0
1,1,2,0,0,0,10037711,1,1,2022,7,14,5,0.0,1.0
1,1,2,0,0,0,9383588,1,1,2022,4,25,2,0.0,1.0
1,1,2,0,0,0,13955003,1,1,2023,3,13,2,0.0,1.0
1,4,3,0,0,1,9317669,1,1,2022,4,24,1,0.5,1.5
1,7,2,0,0,0,14313500,1,1,2023,4,25,3,0.5,1.5
1,10,2,0,0,0,10914499,1,2,2023,1,10,3,1.0,3.0
1,3,6,0,0,2,13916333,1,1,2023,5,11,5,0.0,1.0
1,3,2,0,0,0,9166532,1,1,2022,4,13,4,0.0,1.0
1,1,1,0,0,0,13266028,1,1,2023,3,5,1,0.0,1.0
1,13,2,0,0,0,13927166,1,2,2023,5,14,1,1.5,3.5
1,1,2,0,0,0,11847141,1,1,2022,9,10,7,0.0,1.0
1,7,2,0,0,0,13166411,1,1,2023,6,24,7,0.5,1.5
1,8,1,0,0,0,13237564,1,2,2023,3,28,3,1.0,3.0
1,6,2,0,0,0,9679912,1,1,2022,7,4,2,0.5,1.5
1,1,7,0,0,3,12072400,1,1,2022,10,2,1,0.0,1.0
1,3,1,0,0,0,6518946,1,1,2021,5,13,5,0.0,1.0
1,4,2,0,0,0,10053581,1,1,2022,7,28,5,0.5,1.5
1,1,1,0,0,1,10519154,1,1,2022,7,2,7,0.0,1.0
1,3,2,0,0,1,11101674,1,1,2022,10,30,1,0.0,1.0
1,3,2,0,0,0,14877579,1,1,2023,7,2,1,0.0,1.0
1,4,2,0,0,1,12332589,1,1,2022,10,31,2,0.5,1.5
1,1,2,0,0,0,12691821,1,1,2022,11,27,1,0.0,1.0
1,3,4,2,0,2,13468542,1,1,2023,8,25,6,0.0,1.0
1,2,3,0,0,1,9221688,1,1,2022,6,25,7,0.0,1.0
1,1,1,0,0,1,12880126,1,1,2023,1,30,2,0.0,1.0
1,1,4,0,0,1,9169476,1,1,2022,6,2,5,0.0,1.0
1,7,1,1,0,1,12651104,1,1,2022,12,4,1,0.5,1.5
1,1,1,0,0,0,16905208,1,1,2023,12,21,5,0.0,1.0
1,7,2,2,0,1,12049064,1,1,2022,11,5,7,0.5,1.5
1,3,3,0,0,1,9737693,1,1,2022,7,14,5,0.0,1.0
1,1,2,0,0,0,16085982,1,1,2023,8,16,4,0.0,1.0
1,7,2,0,0,1,12232882,1,1,2022,12,11,1,0.5,1.5
1,2,3,0,0,1,9789533,1,1,2022,5,29,1,0.0,1.0
1,2,2,0,0,0,16895389,1,1,2023,8,19,7,0.0,1.0
1,6,2,0,0,1,13862278,1,1,2023,3,15,4,0.5,1.5
1,2,2,0,0,1,10393260,1,1,2022,6,25,7,0.0,1.0
1,4,2,0,0,0,12492748,1,1,2022,11,29,3,0.5,1.5
1,7,2,2,0,1,11694808,1,1,2022,10,15,7,0.5,1.5
1,1,2,0,0,0,7939376,1,1,2021,11,1,2,0.0,1.0
1,3,4,0,0,1,16695789,1,1,2023,8,6,1,0.0,1.0
1,2,4,0,0,1,15467774,1,1,2023,8,22,3,0.0,1.0
1,2,2,0,0,1,13418063,1,1,2023,2,8,4,0.0,1.0
1,1,2,0,0,1,11844255,1,1,2022,9,9,6,0.0,1.0
1,2,2,0,0,1,14843139,1,1,2023,5,10,4,0.0,1.0
1,7,2,0,0,0,12371808,1,1,2022,12,23,6,0.5,1.5
1,1,2,1,0,1,15355353,1,1,2023,6,4,1,0.0,1.0
1,7,2,0,0,0,9040512,1,1,2022,6,5,1,0.5,1.5
1,2,3,0,0,1,9716150,1,1,2022,5,24,3,0.0,1.0
1,3,2,0,0,0,14973364,1,1,2023,9,19,3,0.0,1.0
1,9,1,0,0,1,14590594,1,2,2023,5,11,5,1.0,3.0
1,28,2,0,0,0,12734187,1,4,2023,3,19,1,3.5,7.5
1,1,2,0,0,0,11843366,1,1,2022,9,9,6,0.0,1.0
1,7,2,0,0,1,13954956,1,1,2023,5,30,3,0.5,1.5
1,8,2,0,0,0,13173200,1,2,2023,7,26,4,1.0,3.0
1,3,1,0,0,0,11930962,1,1,2022,10,2,1,0.0,1.0
1,1,1,0,0,0,15668843,1,1,2023,10,22,1,0.0,1.0
1,1,1,0,0,0,14338032,1,1,2023,4,9,1,0.0,1.0
1,1,2,0,0,0,15085610,1,1,2023,7,8,7,0.0,1.0
1,1,2,2,0,1,11202797,1,1,2022,8,18,5,0.0,1.0
1,3,2,0,0,0,14191006,1,1,2023,3,31,6,0.0,1.0
1,5,2,0,0,1,13770323,1,1,2023,3,4,7,0.5,1.5
1,1,2,0,0,0,8935605,1,1,2022,3,17,5,0.0,1.0
1,3,2,0,0,0,12994635,1,1,2023,1,12,5,0.0,1.0
1,3,1,0,0,0,13911413,1,1,2023,4,10,2,0.0,1.0
1,1,1,0,0,1,13362521,1,1,2023,1,29,1,0.0,1.0
1,1,2,0,0,0,13556362,1,1,2023,3,8,4,0.0,1.0
1,4,2,0,0,0,13464317,1,1,2023,2,10,6,0.5,1.5
1,4,2,0,0,0,14977699,1,1,2023,6,25,1,0.5,1.5
1,2,3,0,0,2,12253627,1,1,2022,10,19,4,0.0,1.0
1,1,2,0,0,0,11844215,1,1,2022,9,11,1,0.0,1.0
1,5,3,0,0,1,15041472,1,1,2023,5,25,5,0.5,1.5
1,2,2,0,0,1,15944517,1,1,2023,10,26,5,0.0,1.0
1,7,2,0,0,0,13045054,1,1,2023,9,11,2,0.5,1.5
1,4,2,0,0,1,10227841,1,1,2022,9,15,5,0.5,1.5
1,11,2,0,0,0,9075436,1,2,2022,5,16,2,1.0,3.0
1,2,2,0,0,0,9427734,1,1,2022,5,3,3,0.0,1.0
1,4,2,2,0,1,9630163,1,1,2022,8,7,1,0.5,1.5
1,1,2,0,0,0,10972590,1,1,2022,7,21,5,0.0,1.0
1,9,1,0,0,0,12778273,1,2,2022,12,19,2,1.0,3.0
1,5,2,2,0,1,13427650,1,1,2023,2,24,6,0.5,1.5
1,3,2,0,0,0,17420424,1,1,2023,9,10,1,0.0,1.0
1,1,3,0,0,1,7194692,1,1,2021,8,6,6,0.0,1.0
1,2,2,1,0,1,10510601,1,1,2022,7,9,7,0.0,1.0
1,7,2,0,0,0,13166238,1,1,2023,6,24,7,0.5,1.5
1,1,2,0,0,0,10219345,1,1,2022,6,16,5,0.0,1.0
1,7,2,0,0,0,10790118,1,1,2022,10,31,2,0.5,1.5
1,7,2,0,0,0,10338292,1,1,2022,10,23,1,0.5,1.5
1,4,2,0,0,1,10382540,1,1,2022,9,14,4,0.5,1.5
1,4,2,0,0,0,13850187,1,1,2023,4,14,6,0.5,1.5
1,2,6,0,0,2,13182826,1,1,2023,4,7,6,0.0,1.0
1,13,1,0,0,0,17238038,1,2,2023,10,19,5,1.5,3.5
1,2,1,0,0,1,19484728,1,1,2024,1,22,2,0.0,1.0
1,10,2,0,0,0,18510434,1,2,2023,11,17,6,1.0,3.0
1,2,2,0,0,1,17890536,1,1,2023,10,1,1,0.0,1.0
